	VC10.Ctrl_S1.bam	VC11.Ctrl_S3.bam	VC35B.Ctrl_S5.bam	VC35C.Ctrl_S7.bam	VC10.VC_S2.bam	VC11.VC_S4.bam	VC35B.VC_S6.bam	VC35C.VC_S8.bam
Mettl3	8.27800030663994	8.17940908565347	8.36665825468356	8.40552176913483	8.21591548286686	8.20194445737782	8.32451920098358	8.30537754745614
Sall2	7.22649711918271	7.15392807718888	7.26155888772155	7.22136584068843	7.36760233085321	7.24481979147894	7.02136831801962	7.24839221369051
Olfr1513	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Olfr1512	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Olfr1511	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Olfr1510	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Olfr1509	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Olfr1508	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Olfr1507	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Trav8d-1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Trav7d-5	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Trav13d-1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
AC126250.5	6.9370597378714	6.83231136066442	6.83447787112045	7.00503249944431	6.87806241956233	6.79783231403592	6.76571820498071	6.92137967069868
AC164155.7	8.99696612149231	8.92533095420255	9.13853070508436	9.15880179396629	9.1473776120249	9.06484610824456	9.16353611841948	9.10364167291164
AC163653.2	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Trav9n-1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
AC188458.7	6.89207178049518	6.89033068182103	6.900066775598	6.91781101273633	6.85956195584987	6.81679171074814	6.94594023169007	6.97699864280064
AC188458.8	9.01359410811435	9.04889792802893	9.06919794550083	9.12444862883255	9.14985374921698	8.97623968092552	9.06654813421155	9.15989747071898
AC161460.8	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
AC161460.10	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.30043516619232	6.13179381389296	6.13179381389296	6.13179381389296
Trav7d-2	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Trav8-1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Trav13-2	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Trav15-2-dv6-2	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Trav3-4	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
B230359F08Rik	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Trav20	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Dad1	8.8456103615987	8.721644985476	8.76261650574415	8.93428968916621	8.61642190749314	8.67345579023672	8.77930117406133	8.72672224826199
Abhd4	8.88761924293734	8.77964955893678	8.33522096234494	8.38243248615451	8.697712744071	8.67019380392604	8.37414651098127	8.34605038450103
Olfr49	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Oxa1l	9.22364148058325	9.20237382866035	9.1876538492826	9.21243480741332	9.39027689302172	9.38957291501558	9.39350443256693	9.31379988892909
Slc7a7	7.73835486656848	7.9375155054246	8.26998987935238	8.20831959966766	7.72068164098088	7.87487720590833	8.35310650345678	8.1107228189223
Mrpl52	8.43135187286311	8.2104840867733	8.29209744942035	8.68485831421397	7.97223261403541	8.24760573536672	8.39485623741587	8.55411128437216
Mmp14	7.26660319333635	7.07043664883874	7.14721508256637	7.07269945466753	6.93077990883804	6.99644948992904	6.97192138679521	7.06157358689571
Lrp10	8.6542355074769	8.77964955893678	8.4759269792471	8.59424789444523	8.77442532020628	8.74948862403663	8.58000481275914	8.67289644658645
Rem2	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Prmt5	10.0552334414757	10.1275950660022	10.206063348177	10.228740774362	9.95122640208841	10.0126624228851	10.208510954829	10.194529273027
Haus4	7.88591999064744	8.18985107052747	8.11626546557787	8.16580024006002	8.03629450346685	7.96784960929115	8.23480351651314	8.20336856713732
Jub	9.59637375514285	9.45227380998123	9.51320997461719	9.39748489166512	9.85234108617267	9.67100931285176	9.55320961011135	9.3742536741357
4931414P19Rik	7.34208424171467	7.16709184406058	7.2880693309374	7.08344988315977	7.33645196429806	7.23393075164175	7.21314626805145	7.35858167055492
Psmb5	9.05546089765583	8.9927892823067	9.16763493927807	9.39270394380128	8.87448433067478	8.97362317027699	9.16353611841948	9.19259656193614
Psmb11	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Cdh24	6.96557532429281	6.94387245310972	6.900066775598	6.8628069626598	6.80073478609811	6.92035888725219	6.89102844036632	6.77110923245776
Gm20726	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Gm17606	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Acin1	10.7150664803992	10.6827732304971	10.3269757149311	10.3339510505507	10.6455992475656	10.7530233237747	10.4458566388998	10.3696301790227
4930579G18Rik	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
1700123O20Rik	8.18091564894274	8.14756279549819	8.24750016005675	8.25682645767601	8.13977640138748	8.15941782619067	8.34601778122945	8.2740208858386
Cebpe	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Slc7a8	6.35359708413874	6.3741516471862	6.49727760799682	6.42682283625826	6.37015331092779	6.4136289099937	6.43249391100309	6.44083884963237
Homez	6.87641372363976	6.79056071133881	6.900066775598	6.84833664820639	6.68798166839369	6.85311000837294	6.69184775243849	6.7464079838306
Ppp1r3e	6.44516362046025	6.13179381389296	6.13179381389296	6.2795009803371	6.42355807306468	6.36203288726458	6.13179381389296	6.31044822022519
Bcl2l2	7.8232373299302	7.56755730492139	7.55111491082233	7.80373938265559	7.68319943728425	7.61966912282566	7.59011972001536	7.65850670042891
Gm20521	9.75422860124029	9.71515992932511	9.72239152945162	9.82305681213168	9.57382546055889	9.65979687010009	9.77737731628066	9.8038128540164
Pabpn1	10.1074197049525	10.0806059839787	10.0966218248314	10.228740774362	9.90988954998695	9.96673362192553	10.1725239489275	10.1676723677183
Slc22a17	6.84397338561152	6.89033068182103	6.70739563514083	6.59706991894713	6.68798166839369	6.75806981012736	6.83140017235245	6.66505859694279
Efs	7.59804798133639	7.38716991202568	7.38742520841789	7.27458294414087	7.38784291583209	7.11718191549269	7.33838315382693	7.12342551079372
Il25	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Cmtm5	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Myh6	6.28870956276683	6.30326731179385	6.31490184372467	6.13179381389296	6.57646865074838	6.49525820719799	6.13179381389296	6.44083884963237
Myh7	6.44516362046025	6.3741516471862	6.13179381389296	6.2795009803371	6.73576492128562	6.52974013788659	6.13179381389296	6.38428838801323
Gm17428	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Ngdn	8.85358515133694	8.83850369695516	9.03477992879744	9.18124425153524	8.697712744071	8.76175923638102	8.95325335866679	9.09788951888942
Gm20687	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Zfhx2	9.30456598175647	9.41675703214197	8.81929550138925	8.61398105047949	9.20324958852957	9.47637031536311	8.94414318432264	8.64516357855978
Thtpa	7.7064798245562	7.7523806575633	7.77911540867635	7.79845858130327	7.61245272448192	7.79368236993853	7.72660217301373	7.62298909528567
Ap1g2	7.68692264694188	7.81733436918307	7.71972837721694	7.53161551270509	7.61245272448192	7.64200532058295	7.49362972345535	7.52888322383581
Jph4	6.44516362046025	6.42844658045411	6.49727760799682	6.57338302398531	6.13179381389296	6.13179381389296	6.55628523847769	6.13179381389296
Dhrs2	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Gm8894	7.7815614814246	7.59345895400256	7.77911540867635	8.04206496662074	7.58784173891156	7.58141818184991	7.82737886979875	7.91619409098186
Dhrs4	7.73204970356149	7.62707842157203	7.71099103375819	7.73316635418333	7.79911333975637	7.98452331577049	7.87987497098109	7.90915140012053
Lrrc16b	6.35359708413874	6.58388509172938	6.44852269160215	6.3874074108349	6.71239130581863	6.69281906910723	6.69184775243849	6.66505859694279
Cpne6	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Nrl	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Pck2	9.06687063858501	9.32045401963743	9.99266885880864	10.0653298495175	9.03920596358869	9.29708588222079	10.1877867186677	10.3398897066655
A730061H03Rik	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.30043516619232	6.13179381389296	6.13179381389296	6.13179381389296
Dcaf11	8.19833288219913	8.29946573478285	8.40744166182508	8.50927194336706	8.28313971605152	8.37162754313822	8.53143361885843	8.5879355223729
Gm15932	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Fitm1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Psme1	8.32982766214429	8.26066900910344	8.14114830550337	8.27861665377422	8.22573513265652	8.14977267287579	8.00661169292465	8.11671455520652
Fam158a	6.69427123365645	6.7220203226607	6.61432507482807	6.54830722777354	6.54371368022122	6.59082208985271	6.49974364501511	6.66505859694279
Psme2	7.21619429862885	7.18006328056392	7.16232625850307	7.164880418725	7.16343745193071	7.1046056797597	7.25064896289008	7.20862593565125
Rnf31	8.67553186351906	8.721644985476	8.77031041464539	8.81401850970719	9.02304436150453	8.90655160403938	8.98910711408783	8.99628683740828
Irf9	7.94021395938244	7.9501632372247	7.83564576994273	7.85023946115488	7.82638577972838	8.09537774701405	7.83806370124723	7.71810850982689
Rec8	8.0174007481304	7.91829540511425	6.85705643289929	6.93091741202802	7.96022045188002	8.03324004245506	7.1538299119092	7.06157358689571
Ipo4	9.92137079962343	10.0126718573737	9.92342558470465	9.82069727431655	10.033131862963	10.0313722229008	10.1454162982262	10.0207664287385
Tm9sf1	8.85887614915316	8.77964955893678	8.84132812312131	8.81643323844372	8.9845871118058	8.85901091812003	8.96230404612209	8.80011462471898
Tssk4	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.30043516619232	6.13179381389296	6.13179381389296	6.31044822022519
Mdp1	7.76323943146119	7.86550483720062	7.9267490994041	7.91437786195344	7.78523785596781	7.82556853083924	8.04312822596874	7.90915140012053
Nedd8	9.20111266645657	9.07882034717924	9.06919794550083	9.35713980835873	8.85626903495159	8.94984978389138	9.09553856181262	9.05397550795598
Gmpr2	7.53207249310984	7.61876814144984	7.59084459940451	7.67580264609073	7.417465755387	7.37614003408125	7.52208749783011	7.64088798083481
Tinf2	8.44575162472632	8.54708139347684	8.69135067500717	8.59991539447786	8.60911737712571	8.64381210699491	8.9577860878016	8.92635143457244
Tgm1	9.17401247286855	8.7863148697833	8.91232579202492	8.96928519836754	8.84399037526409	8.84471072878063	8.8397578848264	8.77122784026666
Rabggta	8.78567165381986	8.88259992536391	9.08456590740406	8.88926330950754	8.72824563049741	8.80977168010313	9.27241888592774	9.18178144127944
Dhrs1	7.56188703437265	7.57625908988357	7.63858118648344	7.68166986238781	7.46501917850324	7.50901357284895	7.35501975908707	7.63197422458734
2610027L16Rik	9.42579176730091	9.41463974786117	9.56194771258773	9.57094826726386	9.37138561850994	9.37588424198437	9.73110778131611	9.51387789477548
Cideb	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Ltb4r2	6.84397338561152	6.83231136066442	6.54014617057472	6.68137575554171	6.63544448872062	6.52974013788659	6.43249391100309	6.13179381389296
Ltb4r1	6.57410305987636	6.6712122838984	6.39057445479477	6.54830722777354	6.30043516619232	6.66921282755177	6.13179381389296	6.48842227529525
Adcy4	6.13179381389296	6.13179381389296	6.13179381389296	6.2795009803371	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Ripk3	8.23247642776527	8.18985107052747	8.36665825468356	8.29650075107877	8.13453571711299	8.01182336814112	8.25019235702187	8.2740208858386
Nfatc4	7.55450963623662	7.62707842157203	7.74555144056608	7.81423087992288	7.51051128452033	7.57360661923307	7.65420375918031	7.79048394996589
Nynrin	9.84090451815632	9.99305722440459	9.61327276563369	9.53820218388945	10.3184635322167	10.4996620065886	9.99726592203691	10.0147454383475
Cbln3	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
