	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Col5a2	140.475190144174	1.18730173580746	0.193574569785346	6.13356257035237	8.59325976896798e-10	2.01483297383069e-07
Stk31	91.3635442804574	1.13542785561937	0.211596458891352	5.36600594153787	8.04992908382896e-08	1.23093915599246e-05
Tlr2	114.221088272698	1.11819828211606	0.177654670517548	6.29422395064815	3.08941529888421e-10	8.20035743862322e-08
Hunk	561.137076380962	1.11676556159789	0.116834434739442	9.55853095954501	1.19439993850543e-21	1.0501761459309e-18
Galnt12	46.347436884722	1.07883117003707	0.298514695025061	3.61399685850138	0.000301512715431112	0.0140719858400557
Smarca2	112.40104627509	1.06486844219946	0.195842491068656	5.43737182053181	5.40722232057362e-08	8.74354064434823e-06
Lpcat1	679.417993047849	1.05046725053459	0.0816039637981795	12.8727478622555	6.40811163557935e-38	2.25373286223326e-34
Ly6a	397.474504476574	1.03196150752321	0.109544233487153	9.42050051082092	4.48942836367906e-21	3.32406727474932e-18
Tnfrsf8	67.6114311522448	0.993885644193217	0.246138843911266	4.03790652625116	5.39303329139817e-05	0.00348023818088942
Tpd52l1	143.434449155217	0.987472193249338	0.157537454096671	6.26817412349058	3.65306165480708e-10	9.51690210367149e-08
Tdrd3	193.450851065574	0.968435449691925	0.136327621260687	7.10373613752178	1.21428592406963e-12	4.16648155605159e-10
Gm9631	147.942481981843	0.94805211299511	0.15830792760213	5.98865847942763	2.11578913016741e-09	4.65076898174924e-07
Atf7ip	829.778741099824	0.925440757017166	0.0725892989319208	12.7489970372232	3.15781769663191e-37	8.88483587124355e-34
Pkd2l1	58.6876470628592	0.885408266030551	0.260621282658134	3.39729839789014	0.000680547126889679	0.0266596452222933
Adrb3	172.062675181633	0.885293442477036	0.15056968033907	5.87962623340522	4.11193914609966e-09	8.26382284390429e-07
Pdzrn4	165.914327129612	0.883775979491527	0.170754997431407	5.17569613063035	2.27062758225613e-07	3.07146046415185e-05
1700029P11Rik	55.8951474711106	0.878381076987647	0.258661778149154	3.39586731086778	0.000684115149647986	0.0266596452222933
Zbtb10	350.15234898791	0.874207204087239	0.118072169662218	7.40400728290314	1.32135172689836e-13	5.31107888400174e-11
1700019D03Rik	400.231391179256	0.871281899125191	0.0995000759179518	8.75659532002422	2.01236556862256e-18	1.23086777475575e-15
D1Pas1	299.40160050652	0.865919162916188	0.114663188745727	7.551849659758	4.29119672924898e-14	1.90080534018488e-11
Pramef8	394.433647441767	0.863578405771432	0.102796052855259	8.40089071306453	4.43104641428546e-17	2.39753695985261e-14
Pigyl	89.9022432831692	0.863249407723146	0.197062389194948	4.38058937197376	1.18358733984658e-05	0.000930207078042551
Islr2	55.5170107985259	0.852183381447625	0.265529601972699	3.20937242068869	0.00133025066650239	0.0426882921910938
Itgb5	371.086354220795	0.844962180674066	0.101018746570857	8.36440967005451	6.04166534335231e-17	3.14793140926964e-14
Gpr126	164.912638695288	0.838993286146493	0.163976770210905	5.11653745263668	3.11195515504366e-07	4.09149393655647e-05
Nlrp9b	65.3146289242683	0.825415759664701	0.243971517249803	3.38324640912717	0.000716343289998445	0.0276096367224606
Fsd1l	396.434301050877	0.794190447696206	0.109889105473253	7.22719913203329	4.93056881635901e-13	1.77854466944971e-10
Slc35c1	146.772922621559	0.789408331416664	0.161056415022529	4.90143985451458	9.51367776542323e-07	0.000110610263474359
1700030C10Rik	226.755151331629	0.785999393349546	0.135714609810001	5.79156064663883	6.97353688960513e-09	1.32572590490493e-06
Zfp462	966.519466745721	0.784115124107045	0.0687730646294279	11.401485862701	4.11043046942211e-30	6.42505953820337e-27
Pttg1	115.231407243802	0.779103022043097	0.194906893869384	3.9973086973784	6.40667294037275e-05	0.00403621299842855
B3galtl	75.1650026427849	0.778438441458413	0.223959277928759	3.4758034972145	0.000509325329182126	0.0215818937678739
Prtg	237.923477804573	0.769437239815686	0.133800331658333	5.75063776209829	8.89074237453528e-09	1.62435017824626e-06
Tfcp2	143.447658132103	0.76897717117336	0.157879060750159	4.87067232044315	1.11219155299757e-06	0.000126179925544918
Nefm	96.0473509868419	0.766124963530975	0.200431925451753	3.82236992337528	0.000132175205308367	0.0073787332868179
Slc38a4	98.3063303775424	0.762416918859254	0.195574404687982	3.89834712817155	9.68515129775151e-05	0.00565355636750076
Nlrp4f	203.700108998686	0.757417032491037	0.135796043601715	5.57760750904138	2.43849079405375e-08	4.08389148699382e-06
Eya1	159.008288952391	0.753173596803628	0.160575563671424	4.69046210757696	2.72588709176745e-06	0.000271970068134642
Ddhd1	163.678007336547	0.749034905839465	0.150859228944248	4.9651248457347	6.86568891581348e-07	8.25525740749265e-05
Car2	242.11436687254	0.745440789478662	0.126625090461868	5.88699117023055	3.93289716958729e-09	8.01855034518174e-07
Zfp229	568.442361611406	0.740952287898024	0.0955471107503535	7.75483719056656	8.84568870675883e-15	4.29107409402356e-12
